video,total_frames,localized_frames,strict_FA,operational_FA_with_nothing_policy,localization_failure_rate,recognition_failure_rate_all_frames,mean_stage1_latency_ms,mean_model_call_ms,mean_component_sum_e2e_ms
A.MOV,133,133,0.9548872180451128,0.9548872180451128,0.0,0.0451127819548872,67.81295690977576,52.96005709021756,121.47369317292116
B.MOV,138,138,0.0,0.0,0.0,1.0,14.171596804348535,44.01518213768193,59.05277925363783
C.MOV,133,133,0.0,0.0,0.0,1.0,14.227563548872412,44.26269942856598,59.33306340600738
D.MOV,156,156,0.0,0.0,0.0,1.0,14.217336288462016,44.21216750641103,59.33547497435836
E.MOV,143,143,0.0,0.0,0.0,1.0,14.172369545455616,44.38694184615689,59.33076597203017
F.MOV,134,134,0.0,0.0,0.0,1.0,14.11849232089711,43.74411276119563,58.79221768656723
G.MOV,138,138,0.0,0.0,0.0,1.0,14.140980775360514,44.16024138405221,59.18903532607769
H.MOV,143,143,0.0,0.0,0.0,1.0,14.162835650351356,43.807724685310944,58.79296981818258
I.MOV,137,137,0.0,0.0,0.0,1.0,14.177667051094147,43.94034603649372,58.9689797810113
J.MOV,132,132,0.0,0.0,0.0,1.0,14.118792704547728,43.92208519696665,58.89544571969133
K.MOV,134,134,0.0,0.0,0.0,1.0,14.16390814179381,43.88538173880639,58.92338394030308
L.MOV,132,132,0.0,0.0,0.0,1.0,14.144404833335113,44.60129192424037,59.69103853029946
M.MOV,144,144,0.0,0.0,0.0,1.0,14.091692666668443,43.55523384722757,58.41389410417641
N.MOV,135,135,0.0,0.0,0.0,1.0,14.129008222220431,43.42099897777543,58.27176762222145
O.MOV,152,152,0.0,0.0,0.0,1.0,14.146798434210282,43.76424865789001,58.73499347367746
P.MOV,143,143,0.0,0.0,0.0,1.0,14.099687545454811,43.57250689510384,58.51590474824318
Q.MOV,144,144,0.0,0.0,0.0,1.0,14.144656229167335,43.71522973611361,58.701024458330494
R.MOV,133,133,0.0,0.0,0.0,1.0,14.133741969922887,44.33314203007094,59.3548122857076
S.MOV,141,141,0.0,0.0,0.0,1.0,14.100391404255372,43.581434191487496,58.42986326950385
T.MOV,144,144,0.0,0.0,0.0,1.0,14.244372416668464,43.58016420139579,58.71255474307091
U.MOV,144,144,0.0,0.0,0.0,1.0,14.185737937497024,43.91402929860612,58.98609897221105
V.MOV,138,138,0.0,0.0,0.0,1.0,14.084714826086085,43.62448420289988,58.58896846376185
W.MOV,141,141,0.0,0.0,0.0,1.0,14.170750638296347,43.98830236169836,59.05886830495868
X.MOV,141,141,0.0,0.0,0.0,1.0,14.26596382978392,43.72619882269162,58.85617852483238
Y.MOV,151,151,0.0,0.0,0.0,1.0,14.113968172186231,43.8879207946976,58.91014449669407
Z.MOV,152,152,0.0,0.0,0.0,1.0,14.177326289470964,43.78664923026134,58.88662751972618
delete.MOV,150,150,0.0,0.0,0.0,1.0,14.14391925999818,43.93569157334317,58.93865062000525
nothing.MOV,135,0,0.0,1.0,1.0,0.0,13.451060688889052,0.0,13.451060688889052
space.MOV,139,139,0.9784172661870504,0.9784172661870504,0.0,0.0215827338129496,14.128918812945368,43.62868310791085,58.61165960431267
