video,total_frames,localized_frames,strict_FA,operational_FA_with_nothing_policy,localization_failure_rate,recognition_failure_rate_all_frames,mean_stage1_latency_ms,mean_model_call_ms,mean_component_sum_e2e_ms
A.MOV,133,133,0.0075187969924812,0.0075187969924812,0.0,0.9924812030075189,67.81295690977576,281.03167192481106,349.4656497819531
B.MOV,138,138,1.0,1.0,0.0,0.0,14.171596804348535,282.85462415942345,297.8936311956558
C.MOV,133,133,0.8045112781954887,0.8045112781954887,0.0,0.1954887218045112,14.227563548872412,281.83455768421175,296.91660622555446
D.MOV,156,156,0.9871794871794872,0.9871794871794872,0.0,0.0128205128205128,14.217336288462016,279.4343956602694,294.5567428846507
E.MOV,143,143,0.0209790209790209,0.0209790209790209,0.0,0.9790209790209792,14.172369545455616,279.9590036573317,294.8372457552263
F.MOV,134,134,0.3507462686567164,0.3507462686567164,0.0,0.6492537313432836,14.11849232089711,279.1764014776184,294.2396333358327
G.MOV,138,138,0.0,0.0,0.0,1.0,14.140980775360514,276.5509335941959,291.59151457971274
H.MOV,143,143,0.0,0.0,0.0,1.0,14.162835650351356,279.09491260840053,294.0602110839112
I.MOV,137,137,0.3065693430656934,0.3065693430656934,0.0,0.6934306569343066,14.177667051094147,276.19744713138726,291.2378010803095
J.MOV,132,132,0.0378787878787878,0.0378787878787878,0.0,0.9621212121212122,14.118792704547728,279.94259853029706,294.9247433181428
K.MOV,134,134,0.0,0.0,0.0,1.0,14.16390814179381,278.6985545820875,293.7432794477592
L.MOV,132,132,0.0075757575757575,0.0075757575757575,0.0,0.9924242424242424,14.144404833335113,283.617566106059,298.6879864697133
M.MOV,144,144,0.1597222222222222,0.1597222222222222,0.0,0.8402777777777778,14.091692666668443,282.3746043333447,297.2665688055613
N.MOV,135,135,0.6370370370370371,0.6370370370370371,0.0,0.362962962962963,14.129008222220431,281.4335075851853,296.3811684370133
O.MOV,152,152,0.1973684210526315,0.1973684210526315,0.0,0.8026315789473685,14.146798434210282,278.2656085789379,293.221137131582
P.MOV,143,143,0.0209790209790209,0.0209790209790209,0.0,0.9790209790209792,14.099687545454811,282.38140694405433,297.3103694405636
Q.MOV,144,144,0.4444444444444444,0.4444444444444444,0.0,0.5555555555555556,14.144656229167335,282.5784619374916,297.5979988194608
R.MOV,133,133,0.0300751879699248,0.0300751879699248,0.0,0.9699248120300752,14.133741969922887,282.58254988722365,297.5773684285995
S.MOV,141,141,1.0,1.0,0.0,0.0,14.100391404255372,278.2514074539117,293.0673699716191
T.MOV,144,144,0.0,0.0,0.0,1.0,14.244372416668464,280.59693004165985,295.7359570277846
U.MOV,144,144,0.0416666666666666,0.0416666666666666,0.0,0.9583333333333334,14.185737937497024,285.6687440277802,300.75053679861065
V.MOV,138,138,0.0,0.0,0.0,1.0,14.084714826086085,294.205023101461,309.2371790145196
W.MOV,141,141,1.0,1.0,0.0,0.0,14.170750638296347,286.72122827658075,301.8158113120604
X.MOV,141,141,0.0,0.0,0.0,1.0,14.26596382978392,281.3189096241105,296.44640902839984
Y.MOV,151,151,0.5761589403973509,0.5761589403973509,0.0,0.423841059602649,14.113968172186231,280.18474880132663,295.21930883448016
Z.MOV,152,152,0.9605263157894736,0.9605263157894736,0.0,0.0394736842105263,14.177326289470964,278.31844604603054,293.40862972364334
delete.MOV,150,150,0.9466666666666668,0.9466666666666668,0.0,0.0533333333333333,14.14391925999818,279.3393912600156,294.3404958666842
nothing.MOV,135,0,0.0,1.0,1.0,0.0,13.451060688889052,0.0,13.451060688889052
space.MOV,139,139,1.0,1.0,0.0,0.0,14.128918812945368,278.4499160575578,293.447662438842
