video,total_frames,localized_frames,strict_FA,operational_FA_with_nothing_policy,localization_failure_rate,recognition_failure_rate_all_frames,mean_stage1_latency_ms,mean_model_call_ms,mean_component_sum_e2e_ms
A.MOV,133,133,0.0,0.0,0.0,1.0,67.81295690977576,201.50127819545705,269.9811505864499
B.MOV,138,138,0.0289855072463768,0.0289855072463768,0.0,0.9710144927536232,14.171596804348535,195.02457302899637,210.0990994855004
C.MOV,133,133,0.0,0.0,0.0,1.0,14.227563548872412,194.86500290979265,209.9458848120595
D.MOV,156,156,0.8012820512820513,0.8012820512820513,0.0,0.1987179487179487,14.217336288462016,195.57755954489645,210.7090184744029
E.MOV,143,143,0.0,0.0,0.0,1.0,14.172369545455616,195.286624650358,210.10047303499647
F.MOV,134,134,0.0,0.0,0.0,1.0,14.11849232089711,196.2029377238664,211.27534629849904
G.MOV,138,138,0.0,0.0,0.0,1.0,14.140980775360514,195.6106007246292,210.66261602898084
H.MOV,143,143,0.0,0.0,0.0,1.0,14.162835650351356,194.52305539858776,209.49702854544776
I.MOV,137,137,0.218978102189781,0.218978102189781,0.0,0.781021897810219,14.177667051094147,197.0846349926844,212.15669647441507
J.MOV,132,132,0.0,0.0,0.0,1.0,14.118792704547728,194.09732226514816,209.07082343939047
K.MOV,134,134,0.0,0.0,0.0,1.0,14.16390814179381,194.06547768655616,209.0950832387932
L.MOV,132,132,0.0,0.0,0.0,1.0,14.144404833335113,193.22892103029903,208.29339137876036
M.MOV,144,144,0.0,0.0,0.0,1.0,14.091692666668443,192.56020428471743,207.39770224999887
N.MOV,135,135,1.0,1.0,0.0,0.0,14.129008222220431,192.4178886592657,207.2064391629384
O.MOV,152,152,0.0,0.0,0.0,1.0,14.146798434210282,194.24951058553123,209.2225822763684
P.MOV,143,143,0.0,0.0,0.0,1.0,14.099687545454811,192.9688771398531,207.88395210490523
Q.MOV,144,144,0.0,0.0,0.0,1.0,14.144656229167335,193.4746422430654,208.47742121525985
R.MOV,133,133,0.4812030075187969,0.4812030075187969,0.0,0.518796992481203,14.133741969922887,195.0390126917159,210.0549297142286
S.MOV,141,141,0.0,0.0,0.0,1.0,14.100391404255372,192.8682409787285,207.68262651067832
T.MOV,144,144,0.0,0.0,0.0,1.0,14.244372416668464,192.324125486086,207.4567599097041
U.MOV,144,144,0.0,0.0,0.0,1.0,14.185737937497024,192.6693493611348,207.74356311808145
V.MOV,138,138,0.0,0.0,0.0,1.0,14.084714826086085,192.9489883695617,207.9327243913154
W.MOV,141,141,0.9716312056737588,0.9716312056737588,0.0,0.0283687943262411,14.170750638296347,193.09774195036223,208.17462070918128
X.MOV,141,141,0.9858156028368794,0.9858156028368794,0.0,0.0141843971631205,14.26596382978392,192.9761157447089,208.1142558156355
Y.MOV,151,151,0.2847682119205298,0.2847682119205298,0.0,0.7152317880794702,14.113968172186231,193.43845662253432,208.4804581920737
Z.MOV,152,152,0.0723684210526315,0.0723684210526315,0.0,0.9276315789473684,14.177326289470964,194.2207409670896,209.3376005657514
delete.MOV,150,150,0.0,0.0,0.0,1.0,14.14391925999818,193.50062488668905,208.50981980667976
nothing.MOV,135,0,0.0,1.0,1.0,0.0,13.451060688889052,0.0,13.451060688889052
space.MOV,139,139,0.0359712230215827,0.0359712230215827,0.0,0.9640287769784172,14.128918812945368,193.5431302877732,208.53246277701712
