video,total_frames,localized_frames,strict_FA,operational_FA_with_nothing_policy,localization_failure_rate,recognition_failure_rate_all_frames,mean_stage1_latency_ms,mean_model_call_ms,mean_component_sum_e2e_ms
A.MOV,133,133,0.7744360902255639,0.7744360902255639,0.0,0.225563909774436,31.41728583458852,24.257213052640207,58.05329945863983
B.MOV,138,138,0.2391304347826087,0.2391304347826087,0.0,0.7608695652173914,14.061556623182463,22.074881326093617,38.64479687680255
C.MOV,133,133,1.0,1.0,0.0,0.0,14.061125526317094,22.101461548878856,38.62278792481581
D.MOV,156,156,1.0,1.0,0.0,0.0,14.083134070517644,22.077155525637,38.66619517948231
E.MOV,143,143,1.0,1.0,0.0,0.0,14.014279958042016,22.050143566426488,38.19383362237112
F.MOV,134,134,1.0,1.0,0.0,0.0,14.054065171639866,22.102382888066987,38.69936299253649
G.MOV,138,138,0.9855072463768116,0.9855072463768116,0.0,0.0144927536231884,14.04812542028904,22.11132741303961,38.72500142033031
H.MOV,143,143,0.8111888111888111,0.8111888111888111,0.0,0.1888111888111888,14.01920827272152,22.09318938461225,38.552759790175486
I.MOV,137,137,1.0,1.0,0.0,0.0,14.025297087588664,22.056460255460504,38.5787576422828
J.MOV,132,132,0.0,0.0,0.0,1.0,14.003578348485986,22.09488842423167,38.59871398483702
K.MOV,134,134,0.917910447761194,0.917910447761194,0.0,0.0820895522388059,13.996436955228171,22.08810149254566,38.57336209701845
L.MOV,132,132,1.0,1.0,0.0,0.0,14.021277287876424,22.097305454554892,38.69534442423394
M.MOV,144,144,0.0555555555555555,0.0555555555555555,0.0,0.9444444444444444,14.015096923608262,22.10830879862,38.49592852778964
N.MOV,135,135,1.0,1.0,0.0,0.0,13.949917422225418,22.04370396296629,38.36093403704884
O.MOV,152,152,0.6973684210526315,0.6973684210526315,0.0,0.3026315789473684,13.9974593223684,22.10554916447456,38.559339565792
P.MOV,143,143,1.0,1.0,0.0,0.0,14.019107860140236,22.118196874130675,38.61474379022155
Q.MOV,144,144,1.0,1.0,0.0,0.0,13.99793899999856,22.0902359027551,38.58783412501844
R.MOV,133,133,0.0827067669172932,0.0827067669172932,0.0,0.9172932330827068,14.00514955639408,22.10004660901348,38.586998939856535
S.MOV,141,141,0.8439716312056738,0.8439716312056738,0.0,0.1560283687943262,13.997874120571185,22.04874016312412,38.44256503546455
T.MOV,144,144,0.6805555555555556,0.6805555555555556,0.0,0.3194444444444444,14.01392554861284,22.167810791657416,38.738040333325806
U.MOV,144,144,0.1527777777777778,0.1527777777777778,0.0,0.8472222222222222,14.015677166665816,22.08191154167436,38.61253550695112
V.MOV,138,138,1.0,1.0,0.0,0.0,14.045371579703753,22.11191258694943,38.64206342750945
W.MOV,141,141,1.0,1.0,0.0,0.0,13.995146248212318,22.077803567363773,38.59528087231417
X.MOV,141,141,1.0,1.0,0.0,0.0,14.017592815594554,22.130912170209196,38.617495780148126
Y.MOV,151,151,1.0,1.0,0.0,0.0,13.98893515894714,22.093346139071468,38.59147048345655
Z.MOV,152,152,0.8486842105263158,0.8486842105263158,0.0,0.1513157894736842,13.936627710532283,22.08897499343272,38.54099791449303
delete.MOV,150,150,1.0,1.0,0.0,0.0,13.99881524667459,22.070476433336808,38.51584747999974
nothing.MOV,135,0,0.0,1.0,1.0,0.0,13.3510956963063,0.0,13.3510956963063
space.MOV,139,139,1.0,1.0,0.0,0.0,13.974622820142557,22.117897266180535,38.6118805899249
