video,total_frames,localized_frames,strict_FA,operational_FA_with_nothing_policy,localization_failure_rate,recognition_failure_rate_all_frames,mean_stage1_latency_ms,mean_model_call_ms,mean_component_sum_e2e_ms
A.MOV,133,133,0.037593984962406,0.037593984962406,0.0,0.962406015037594,31.41728583458852,12.099740285726115,43.903484947391966
B.MOV,138,138,0.0,0.0,0.0,1.0,14.061556623182463,7.33050891304576,21.747753927540074
C.MOV,133,133,1.0,1.0,0.0,0.0,14.061125526317094,7.315263421037173,21.738886609016717
D.MOV,156,156,1.0,1.0,0.0,0.0,14.083134070517644,7.383120160258072,21.830816858975293
E.MOV,143,143,1.0,1.0,0.0,0.0,14.014279958042016,7.389131992997162,21.764937552427376
F.MOV,134,134,1.0,1.0,0.0,0.0,14.054065171639866,7.340040164186277,21.751653388080356
G.MOV,138,138,0.1884057971014492,0.1884057971014492,0.0,0.8115942028985508,14.04812542028904,7.337666905791462,21.74898528259937
H.MOV,143,143,1.0,1.0,0.0,0.0,14.01920827272152,7.36355910489724,21.71692940558123
I.MOV,137,137,0.7007299270072993,0.7007299270072993,0.0,0.2992700729927007,14.025297087588664,7.332036233570549,21.71368578829177
J.MOV,132,132,0.5,0.5,0.0,0.5,14.003578348485986,7.378522151518816,21.73494309847408
K.MOV,134,134,1.0,1.0,0.0,0.0,13.996436955228171,7.326203932838148,21.686412485081096
L.MOV,132,132,1.0,1.0,0.0,0.0,14.021277287876424,7.35278629545891,21.73836066665927
M.MOV,144,144,0.1875,0.1875,0.0,0.8125,14.015096923608262,7.31561959720908,21.67978844442568
N.MOV,135,135,0.7185185185185186,0.7185185185185186,0.0,0.2814814814814815,13.949917422225418,7.331170429636216,21.626947503699306
O.MOV,152,152,0.4276315789473684,0.4276315789473684,0.0,0.5723684210526315,13.9974593223684,7.30871312500438,21.660827861850866
P.MOV,143,143,0.2937062937062937,0.2937062937062937,0.0,0.7062937062937062,14.019107860140236,7.331538377614449,21.682519090886416
Q.MOV,144,144,0.0069444444444444,0.0069444444444444,0.0,0.9930555555555556,13.99793899999856,7.359836465266451,21.710887104164712
R.MOV,133,133,0.2105263157894736,0.2105263157894736,0.0,0.7894736842105263,14.00514955639408,7.321034383467054,21.6827068421041
S.MOV,141,141,0.0,0.0,0.0,1.0,13.997874120571185,7.323216617010882,21.679230921960126
T.MOV,144,144,0.0902777777777777,0.0902777777777777,0.0,0.9097222222222222,14.01392554861284,7.418621027786306,21.79732691668413
U.MOV,144,144,0.0,0.0,0.0,1.0,14.015677166665816,7.336195909720307,21.71880418056481
V.MOV,138,138,0.0,0.0,0.0,1.0,14.045371579703753,7.344718086953791,21.74822661594346
W.MOV,141,141,0.5531914893617021,0.5531914893617021,0.0,0.4468085106382978,13.995146248212318,7.312151574459747,21.663595815603035
X.MOV,141,141,0.9787234042553192,0.9787234042553192,0.0,0.0212765957446808,14.017592815594554,7.36190846099436,21.74383454608197
Y.MOV,151,151,1.0,1.0,0.0,0.0,13.98893515894714,7.31969578146615,21.67410066227748
Z.MOV,152,152,0.9671052631578948,0.9671052631578948,0.0,0.0328947368421052,13.936627710532283,7.351533723698666,21.65536446055458
delete.MOV,150,150,0.9933333333333332,0.9933333333333332,0.0,0.0066666666666666,13.99881524667459,7.34798231333419,21.69839844667877
nothing.MOV,135,0,0.0,1.0,1.0,0.0,13.3510956963063,0.0,13.3510956963063
space.MOV,139,139,1.0,1.0,0.0,0.0,13.974622820142557,7.318276906482634,21.642410964036344
