video,total_frames,localized_frames,strict_FA,operational_FA_with_nothing_policy,localization_failure_rate,target_detection_failure_rate,recognition_failure_rate,TS_target_detected_pairs,TS_target_zero_missing,mean_target_model_call_ms,mean_component_sum_e2e_ms
A.MOV,133,133,0.1353383458646616,0.1353383458646616,0.0,0.0,0.8646616541353384,0.9223119209248296,0.9223119209248296,51.77550786468197,120.09426260908236
B.MOV,138,138,0.0,0.0,0.0,0.0,1.0,0.8959507299764,0.8959507299764,35.46867165944908,50.17204491307241
C.MOV,133,133,1.0,1.0,0.0,0.0,0.0,0.944713724432816,0.944713724432816,35.09921327824992,49.77503287978886
D.MOV,156,156,1.0,1.0,0.0,0.0,0.0,0.9526508422532516,0.9526508422532516,35.32014473717027,49.98691442948073
E.MOV,143,143,0.0,0.0,0.0,0.0,1.0,0.9551068961688932,0.9551068961688932,35.36714441952745,50.037605496488894
F.MOV,134,134,1.0,1.0,0.0,0.0,0.0,0.899603581696265,0.899603581696265,34.93805214919854,49.50426010438958
G.MOV,138,138,0.5,0.5,0.0,0.0,0.5,0.8906962826991919,0.8906962826991919,35.01735428265591,49.676371666595536
H.MOV,143,143,0.0769230769230769,0.0769230769230769,0.0,0.0,0.9230769230769232,0.9157512332547572,0.9157512332547572,35.20373100702425,49.86176751049004
I.MOV,137,137,0.5109489051094891,0.5109489051094891,0.0,0.0,0.4890510948905109,0.9374308935016012,0.9374308935016012,35.18352081025187,49.87412281027704
J.MOV,132,132,0.2954545454545454,0.2954545454545454,0.0,0.0,0.7045454545454546,0.8897510595471931,0.8897510595471931,35.299273113664775,49.91310928793977
K.MOV,134,134,0.0074626865671641,0.0074626865671641,0.0,0.0,0.9925373134328358,0.9249508848519824,0.9249508848519824,35.03697472385297,49.71848935821088
L.MOV,132,132,0.4924242424242424,0.4924242424242424,0.0,0.0,0.5075757575757576,0.9438394324417144,0.9438394324417144,35.52543134849822,50.17589542430344
M.MOV,144,144,1.0,1.0,0.0,0.0,0.0,0.9121944542017392,0.9121944542017392,35.01378863196831,49.5400008750448
N.MOV,135,135,1.0,1.0,0.0,0.0,0.0,0.9143801630702144,0.9143801630702144,35.30877975557545,49.91492254074628
O.MOV,152,152,0.9210526315789472,0.9210526315789472,0.0,0.0,0.0789473684210526,0.9183343164302648,0.9183343164302648,35.90473703945918,50.53274601967672
P.MOV,143,143,0.6643356643356644,0.6643356643356644,0.0,0.0,0.3356643356643357,0.8851549246184873,0.8851549246184873,35.862075230772994,50.479483048896206
Q.MOV,144,144,0.0416666666666666,0.0416666666666666,0.0,0.0,0.9583333333333334,0.8873653097908343,0.8873653097908343,35.86667493059773,50.53068479174053
R.MOV,133,133,0.3383458646616541,0.3383458646616541,0.0,0.0,0.6616541353383458,0.8826351519117763,0.8826351519117763,35.63814043605762,50.30885266909121
S.MOV,141,141,0.6382978723404256,0.6382978723404256,0.0,0.0,0.3617021276595745,0.8987916662038578,0.8987916662038578,35.81306349649254,50.45616147522349
T.MOV,144,144,0.0,0.0,0.0,0.0,1.0,0.8802780274828916,0.8802780274828916,35.64397020832328,50.41161699307277
U.MOV,144,144,0.0,0.0,0.0,0.0,1.0,0.8975678283739125,0.8975678283739125,35.96241734026585,50.677074243045205
V.MOV,138,138,0.0,0.0,0.0,0.0,1.0,0.9459479396113328,0.9459479396113328,35.69937284058709,50.25287247102028
W.MOV,141,141,1.0,1.0,0.0,0.0,0.0,0.9173840281555768,0.9173840281555768,35.89845358863334,50.609981297816944
X.MOV,141,141,1.0,1.0,0.0,0.0,0.0,0.9442676931297,0.9442676931297,35.72002756029939,50.48160798583093
Y.MOV,151,151,1.0,1.0,0.0,0.0,0.0,0.850185855245408,0.850185855245408,35.69975182120511,50.27981808605648
Z.MOV,152,152,0.7236842105263158,0.7236842105263158,0.0,0.0,0.2763157894736842,0.8141029310856358,0.8141029310856358,35.82803304604903,50.51358619738716
delete.MOV,150,150,0.0,0.0,0.0,0.0,1.0,0.926174541811152,0.926174541811152,35.64121969999784,50.31883603331721
nothing.MOV,135,0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,13.451060688889052
space.MOV,139,139,1.0,1.0,0.0,0.0,0.0,0.8958738078531183,0.8958738078531183,35.66105517264653,50.25014612232367
