video,total_frames,localized_frames,strict_FA,operational_FA_with_nothing_policy,localization_failure_rate,target_detection_failure_rate,recognition_failure_rate,TS_target_detected_pairs,TS_target_zero_missing,mean_target_model_call_ms,mean_component_sum_e2e_ms
A.MOV,133,133,0.0,0.0,0.0,0.0300751879699248,0.9699248120300752,0.9267716261995032,0.8846456431904348,27.58064942855027,95.83795654886583
B.MOV,138,138,0.0,0.0,0.0,0.2971014492753623,0.7028985507246377,0.8985293941074048,0.5181300885728831,14.08204609422854,28.6514061667286
C.MOV,133,133,0.0,0.0,0.0,0.0451127819548872,0.9548872180451128,0.9455520525878396,0.8667560482055195,14.182763353404798,28.902906789461458
D.MOV,156,156,0.0,0.0,0.0,0.0256410256410256,0.9743589743589745,0.9531181053784652,0.9100740619097604,14.228752275660858,28.947038205165345
E.MOV,143,143,0.0,0.0,0.0,0.0279720279720279,0.972027972027972,0.9545094569046382,0.9141780714016252,14.22908337061691,28.86459551747727
F.MOV,134,134,0.0,0.0,0.0,0.0,1.0,0.8994853443373558,0.8994853443373558,14.264087962703288,28.839737358206985
G.MOV,138,138,1.0,1.0,0.0,0.0,0.0,0.890624968510086,0.890624968510086,14.28207950001759,28.888220297096392
H.MOV,143,143,0.0069930069930069,0.0069930069930069,0.0,0.4895104895104895,0.5034965034965035,0.9324026572254992,0.3742743060693905,13.929860328666416,28.41802179020252
I.MOV,137,137,0.0437956204379562,0.0437956204379562,0.0,0.1824817518248175,0.7737226277372263,0.9385528395028844,0.6901123819874151,14.157822029205718,28.766154992648307
J.MOV,132,132,0.0075757575757575,0.0075757575757575,0.0,0.1287878787878787,0.8636363636363636,0.8966632550029475,0.7118547978649354,14.111419560646082,28.660764515195908
K.MOV,134,134,0.0,0.0,0.0,0.0074626865671641,0.9925373134328358,0.92479795798372,0.9108912217734384,14.27211686565775,28.9309839999686
L.MOV,132,132,0.0,0.0,0.0,0.0,1.0,0.943708904317581,0.943708904317581,14.274337151488051,28.89791001502336
M.MOV,144,144,0.0,0.0,0.0,0.0,1.0,0.9121643808482186,0.9121643808482186,14.199406611106092,28.74072316667527
N.MOV,135,135,0.0,0.0,0.0,0.0,1.0,0.9142789581773106,0.9142789581773106,14.2160138148096,28.79923620737288
O.MOV,152,152,0.0,0.0,0.0,0.0131578947368421,0.986842105263158,0.920205552050582,0.9019233225396434,14.256845585548133,28.89725263824105
P.MOV,143,143,0.0209790209790209,0.0209790209790209,0.0,0.0699300699300699,0.9090909090909092,0.8877126907239044,0.7814372277499158,14.04315686012034,28.549431524509288
Q.MOV,144,144,0.0,0.0,0.0,0.1180555555555555,0.8819444444444444,0.8844639638101647,0.711282208658524,14.081305708366976,28.669483652766957
R.MOV,133,133,0.0,0.0,0.0,0.0,1.0,0.8823751254640847,0.8823751254640847,14.101035421024555,28.71385120298179
S.MOV,141,141,0.2765957446808511,0.2765957446808511,0.0,0.1914893617021276,0.5319148936170213,0.9033236171453662,0.6000649742465647,13.99858887230329,28.521303829783054
T.MOV,144,144,0.0,0.0,0.0,0.2222222222222222,0.7777777777777778,0.8928573208519698,0.6118882338705807,13.985145701351737,28.65856284022744
U.MOV,144,144,0.0,0.0,0.0,0.0069444444444444,0.9930555555555556,0.8986792593119004,0.8861103186222234,14.143101423573828,28.82138238192056
V.MOV,138,138,0.0,0.0,0.0,0.0,1.0,0.9459807368955648,0.9459807368955648,14.045297557986224,28.577496942062908
W.MOV,141,141,0.0,0.0,0.0,0.4184397163120567,0.5815602836879432,0.9364909126938484,0.4481777939320561,13.946815269483643,28.48481191481184
X.MOV,141,141,0.0,0.0,0.0,0.2411347517730496,0.7588652482269503,0.9400162068659113,0.6512969433285242,14.00535841133444,28.68568092200903
Y.MOV,151,151,0.5695364238410596,0.5695364238410596,0.0,0.0132450331125827,0.4172185430463576,0.8531160285759126,0.8303662678138882,14.11208414576069,28.70681150339137
Z.MOV,152,152,0.0,0.0,0.0,0.1184210526315789,0.881578947368421,0.8226766237390926,0.6701273160258833,14.01247271049119,28.62377004607789
delete.MOV,150,150,0.0,0.0,0.0,0.0,1.0,0.926139463614957,0.926139463614957,14.042390673330374,28.644486513227324
nothing.MOV,135,0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,13.451060688889052
space.MOV,139,139,0.0,0.0,0.0,0.0,1.0,0.8961199051557086,0.8961199051557086,14.106805086347444,28.681811417328824
