video,total_frames,localized_frames,strict_FA,operational_FA_with_nothing_policy,localization_failure_rate,target_detection_failure_rate,recognition_failure_rate,TS_target_detected_pairs,TS_target_zero_missing,mean_target_model_call_ms,mean_component_sum_e2e_ms
A.MOV,133,133,0.0,0.0,0.0,0.0,1.0,0.9222733725336144,0.9222733725336144,42.465588556392746,110.75285756400578
B.MOV,138,138,0.2753623188405797,0.2753623188405797,0.0,0.0,0.7246376811594203,0.8959312136231218,0.8959312136231218,28.975034123181945,43.66680989123351
C.MOV,133,133,0.4586466165413533,0.4586466165413533,0.0,0.0,0.5413533834586466,0.9447568498876068,0.9447568498876068,29.26324662404708,43.96968967661476
D.MOV,156,156,1.0,1.0,0.0,0.0,0.0,0.9526901818248,0.9526901818248,28.793351576880998,43.45563050639685
E.MOV,143,143,0.0,0.0,0.0,0.0,1.0,0.9551938425084366,0.9551938425084366,29.126470013999587,43.81578660140339
F.MOV,134,134,0.9104477611940298,0.9104477611940298,0.0,0.0,0.0895522388059701,0.899670358657341,0.899670358657341,29.17441629101835,43.75642750736332
G.MOV,138,138,0.6376811594202898,0.6376811594202898,0.0,0.0,0.3623188405797101,0.8907144604016314,0.8907144604016314,29.16520987675698,43.801653934777086
H.MOV,143,143,0.0,0.0,0.0,0.1538461538461538,0.8461538461538461,0.9148655245724356,0.682927785948438,29.123739720324178,43.692980657354994
I.MOV,137,137,0.437956204379562,0.437956204379562,0.0,0.1021897810218978,0.4598540145985401,0.933393570794786,0.809856186424888,29.140103562032067,43.777486189792754
J.MOV,132,132,0.0,0.0,0.0,0.3257575757575757,0.6742424242424242,0.8922336118390993,0.4699551085259378,29.190149295504163,43.68208093196019
K.MOV,134,134,0.0,0.0,0.0,0.0,1.0,0.9249155695927544,0.9249155695927544,28.89882782839587,43.55856304479575
L.MOV,132,132,0.0984848484848484,0.0984848484848484,0.0,0.0151515151515151,0.8863636363636364,0.943402486106271,0.9145963033244,28.75332840919024,43.37534233350913
M.MOV,144,144,0.0416666666666666,0.0416666666666666,0.0,0.0,0.9583333333333334,0.9122022030648982,0.9122022030648982,29.093450513983043,43.6366960209011
N.MOV,135,135,0.9629629629629628,0.9629629629629628,0.0,0.0,0.037037037037037,0.9143798651489204,0.9143798651489204,29.189614377793514,43.77261704443367
O.MOV,152,152,0.0,0.0,0.0,0.006578947368421,0.993421052631579,0.9189796294744536,0.9068077138522754,29.205703828946945,43.81118688811669
P.MOV,143,143,0.4755244755244755,0.4755244755244755,0.0,0.0909090909090909,0.4335664335664335,0.8863993104280729,0.7490698397983714,29.1183719300216,43.64976209076558
Q.MOV,144,144,0.7777777777777778,0.7777777777777778,0.0,0.0,0.2222222222222222,0.8873372873519736,0.8873372873519736,29.08381830556866,43.730433479180896
R.MOV,133,133,0.1278195488721804,0.1278195488721804,0.0,0.0,0.8721804511278195,0.8825681088046756,0.8825681088046756,29.159551902265044,43.77357218793888
S.MOV,141,141,0.0851063829787234,0.0851063829787234,0.0,0.0,0.9148936170212766,0.8987533291034866,0.8987533291034866,29.146564673786266,43.73151467380069
T.MOV,144,144,0.0,0.0,0.0,0.0833333333333333,0.9166666666666666,0.8741926279254839,0.7580411598794405,29.14464770829126,43.82813135412494
U.MOV,144,144,0.0,0.0,0.0,0.0,1.0,0.8974319590741126,0.8974319590741126,29.12985355551554,43.7800228333016
V.MOV,138,138,0.0652173913043478,0.0652173913043478,0.0,0.181159420289855,0.7536231884057971,0.9432201170144582,0.6609425637473575,28.690149666703213,43.201604572540624
W.MOV,141,141,0.4113475177304964,0.4113475177304964,0.0,0.0354609929078014,0.5531914893617021,0.9180087901027186,0.858993939310401,29.3070643049224,43.93276882265877
X.MOV,141,141,0.4397163120567376,0.4397163120567376,0.0,0.1205673758865248,0.4397163120567376,0.9421968191910692,0.7672174099127277,29.30081069501523,44.00998931196598
Y.MOV,151,151,0.9801324503311258,0.9801324503311258,0.0,0.0,0.0198675496688741,0.8499896405210021,0.8499896405210021,28.871853026520817,43.44275937755178
Z.MOV,152,152,0.993421052631579,0.993421052631579,0.0,0.0,0.006578947368421,0.8141855191765218,0.8141855191765218,29.438289486835718,44.06147083549615
delete.MOV,150,150,0.0,0.0,0.0,0.0,1.0,0.9261659104528734,0.9261659104528734,28.998535513383104,43.64275010668848
nothing.MOV,135,0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,13.451060688889052
space.MOV,139,139,0.3309352517985611,0.3309352517985611,0.0,0.014388489208633,0.6546762589928058,0.8993607534571435,0.8732923258207045,29.260019870470902,43.85504505748106
